"id" "stay" "age" "risk" "beds" "school" "region" "census" "nurses"
1 7.13 55.7 4.1 279 2 4 207 241
2 8.82 58.2 1.6 80 2 2 51 52
3 8.34 56.9 2.7 107 2 3 82 54
4 8.95 53.7 5.6 147 2 4 53 148
5 11.2 56.5 5.7 180 2 1 134 151
6 9.76 50.9 5.1 150 2 2 147 106
7 9.68 57.8 4.6 186 2 3 151 129
8 11.18 45.7 5.4 640 1 2 399 360
9 8.67 48.2 4.3 182 2 3 130 118
10 8.84 56.3 6.3 85 2 1 59 66
11 11.07 53.2 4.9 768 1 1 591 656
12 8.3 57.2 4.3 167 2 3 105 59
13 12.78 56.8 7.7 322 1 1 252 349
14 7.58 56.7 3.7 97 2 2 59 79
15 9 56.3 4.2 72 2 3 61 38
16 11.08 50.2 5.5 387 2 3 326 405
17 8.28 48.1 4.5 108 2 4 84 73
18 11.62 53.9 6.4 133 2 1 113 101
19 9.06 52.8 4.2 134 2 2 103 125
20 9.35 53.8 4.1 833 2 3 547 519
21 7.53 42 4.2 95 2 4 47 49
22 10.24 49 4.8 195 2 2 163 170
23 9.78 52.3 5 270 1 1 240 198
24 9.84 62.2 4.8 600 2 3 468 497
25 9.2 52.2 4 298 1 4 244 236
26 8.28 49.5 3.9 546 1 2 413 436
27 9.31 47.2 4.5 170 2 1 124 173
28 8.19 52.1 3.2 176 2 1 156 88
29 11.65 54.5 4.4 248 2 1 217 189
30 9.89 50.5 4.9 167 2 2 113 106
31 11.03 49.9 5 318 2 1 270 335
32 9.84 53 5.2 210 2 2 200 239
33 11.77 54.1 5.3 196 2 1 164 165
34 13.59 54 6.1 312 2 1 258 169
35 9.74 54.4 6.3 221 2 2 170 172
36 10.33 55.8 5 266 2 1 181 149
37 9.97 58.2 2.8 90 2 2 69 42
38 7.84 49.1 4.6 60 2 3 50 45
39 10.47 53.2 4.1 196 2 2 168 153
40 8.16 60.9 1.3 73 2 3 49 21
41 8.48 51.1 3.7 166 2 3 145 118
42 10.72 53.8 4.7 113 2 3 90 107
43 11.2 45 3 130 2 3 95 56
44 10.12 51.7 5.6 362 1 3 313 264
45 8.37 50.7 5.5 115 2 2 96 88
46 10.16 54.2 4.6 831 1 4 581 629
47 19.56 59.9 6.5 306 2 1 273 172
48 10.9 57.2 5.5 593 2 2 446 211
49 7.67 51.7 1.8 106 2 3 93 35
50 8.88 51.5 4.2 305 2 3 238 197
51 11.48 57.6 5.6 252 2 1 207 251
52 9.23 51.6 4.3 620 2 2 413 420
53 11.41 61.1 7.6 535 2 3 330 273
54 12.07 43.7 7.8 157 2 2 115 76
55 8.63 54 3.1 76 2 1 39 44
56 11.15 56.5 3.9 281 2 1 217 199
57 7.14 59 3.7 70 2 4 37 35
58 7.65 47.1 4.3 318 2 4 265 314
59 10.73 50.6 3.9 445 1 2 374 345
60 11.46 56.9 4.5 191 2 3 153 132
61 10.42 58 3.4 119 2 1 67 64
62 11.18 51 5.7 595 1 2 546 392
63 7.93 64.1 5.4 68 2 4 42 49
64 9.66 52.1 4.4 83 2 2 66 95
65 7.78 45.5 5 489 2 3 391 329
66 9.42 50.6 4.3 508 2 1 421 528
67 10.02 49.5 4.4 265 2 2 191 202
68 8.58 55 3.7 304 2 3 248 218
69 9.61 52.4 4.5 487 2 3 404 220
70 8.03 54.2 3.5 97 2 1 65 55
71 7.39 51 4.2 72 2 2 38 67
72 7.08 52 2 87 2 3 52 57
73 9.53 51.5 5.2 298 2 3 241 193
74 10.05 52 4.5 184 1 1 144 151
75 8.45 38.8 3.4 235 2 2 143 124
76 6.7 48.6 4.5 76 2 4 51 79
77 8.9 49.7 2.9 52 2 1 37 35
78 10.23 53.2 4.9 752 1 2 595 446
79 8.88 55.8 4.4 237 2 2 165 182
80 10.3 59.6 5.1 175 2 2 113 73
81 10.79 44.2 2.9 461 1 2 320 196
82 7.94 49.5 3.5 195 2 2 139 116
83 7.63 52.1 5.5 197 2 4 109 110
84 8.77 54.5 4.7 143 2 4 85 87
85 8.09 56.9 1.7 92 2 3 61 61
86 9.05 51.2 4.1 195 2 3 127 112
87 7.91 52.8 2.9 477 2 3 349 188
88 10.39 54.6 4.3 353 2 2 223 200
89 9.36 54.1 4.8 165 2 1 127 158
90 11.41 50.4 5.8 424 1 3 359 335
91 8.86 51.3 2.9 100 2 3 65 53
92 8.93 56 2 95 2 3 59 56
93 8.92 53.9 1.3 56 2 2 40 14
94 8.15 54.9 5.3 99 2 4 55 71
95 9.77 50.2 5.3 154 2 2 123 148
96 8.54 56.1 2.5 98 2 1 57 75
97 8.66 52.8 3.8 246 2 3 178 177
98 12.01 52.8 4.8 298 2 1 237 115
99 7.95 51.8 2.3 163 2 3 128 93
100 10.15 51.9 6.2 568 1 3 452 371
101 9.76 53.2 2.6 64 2 4 47 55
102 9.89 45.2 4.3 190 2 1 141 112
103 7.14 57.6 2.7 92 2 4 40 50
104 13.95 65.9 6.6 356 2 1 308 182
105 9.44 52.5 4.5 297 2 3 230 263
106 10.8 63.9 2.9 130 2 3 69 62
107 7.14 51.7 1.4 115 2 3 90 19
108 8.02 55 2.1 91 2 2 44 32
109 11.8 53.8 5.7 571 1 2 441 469
110 9.5 49.3 5.8 98 2 3 68 46
111 7.7 56.9 4.4 129 2 4 85 136
112 17.94 56.2 5.9 835 1 1 791 407
113 9.41 59.5 3.1 29 2 3 20 22
